                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.36,                  3.585,                  1.347,                0.79194,                0.26266,                0.30527,                0.19123,                 1.2268,                 3.2206,                 1.1244,                0.00024,                0.00024,                0.00024
                      2,                 1.2652,                 2.0738,                 1.0449,                0.00307,                0.39655,                0.23277,                0.15852,                 1.2866,                 3.5364,                 1.1235,             0.00049505,             0.00049505,             0.00049505
                      3,                 1.3206,                 1.8089,                 1.0241,                0.00333,                0.43103,                0.11615,                0.08501,                 1.4929,                 3.8206,                 1.2175,             0.00074495,             0.00074495,             0.00074495
                      4,                 1.3686,                 1.6814,                 1.0892,                0.00626,                0.44828,                0.30831,                0.21301,                 1.3215,                 3.1403,                 1.0711,             0.00098971,             0.00098971,             0.00098971
                      5,                   1.31,                 1.5292,                 1.0728,                0.54258,                0.31034,                0.28918,                0.17209,                 1.4181,                 2.7053,                 1.1482,              0.0012293,              0.0012293,              0.0012293
                      6,                 1.2299,                 1.5439,                 1.0447,                0.55194,                0.31034,                0.33715,                0.20905,                 1.3067,                 2.2329,                 1.1505,              0.0014638,              0.0014638,              0.0014638
                      7,                 1.3344,                 1.5245,                 1.1228,                0.76743,                0.34146,                 0.4447,                0.27938,                 1.4497,                 1.8619,                 1.1548,              0.0016931,              0.0016931,              0.0016931
                      8,                 1.2578,                  1.351,                 1.0994,                0.78919,                0.27586,                0.37408,                0.24864,                 1.3172,                 1.8734,                  1.229,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2121,                 1.2532,                 1.0659,                 0.8459,                0.39655,                 0.5129,                0.28711,                 1.4587,                  1.875,                 1.1754,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2562,                 1.2592,                  1.076,                0.54724,                0.58621,                 0.5399,                0.32014,                 1.4167,                 1.5688,                 1.2465,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2195,                  1.144,                 1.0569,                0.64517,                0.39655,                0.47366,                0.30601,                 1.2896,                 1.6352,                 1.2123,               0.001802,               0.001802,               0.001802
                     12,                 1.2466,                 1.1615,                 1.0687,                0.66739,                0.38059,                0.44867,                 0.2596,                 1.5373,                 1.7529,                  1.175,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2423,                 1.1039,                 1.0384,                0.82862,                0.32759,                0.40895,                0.28291,                 1.2246,                 2.8605,                 1.1425,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2271,                  1.119,                 1.0626,                0.64498,                0.56388,                0.56792,                0.32168,                 1.4008,                 1.6978,                 1.2884,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1928,                 1.0271,                 1.0696,                0.73451,                0.55172,                0.58816,                 0.3492,                 1.3536,                 1.2014,                 1.1664,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1701,                0.97092,                 1.0393,                0.84002,                0.60345,                0.67067,                0.42247,                 1.4829,                 1.0951,                  1.171,               0.001703,               0.001703,               0.001703
                     17,                 1.1663,                0.95879,                 1.0215,                0.87078,                0.67241,                0.75354,                0.47497,                 1.2077,                0.99082,                 1.0274,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1105,                0.92388,                  1.038,                0.82629,                0.58621,                0.69755,                0.41195,                 1.3834,                0.90762,                 1.1188,              0.0016634,              0.0016634,              0.0016634
