                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5461,                 8.3655,                 1.4929,                0.42627,                0.43103,                0.40747,                0.28598,                 1.0242,                 14.491,                 1.0633,                0.00024,                0.00024,                0.00024
                      2,                 1.2425,                 1.9358,                 1.0611,                0.88647,                0.53859,                0.56107,                0.34685,                 1.3995,                 3.1194,                 1.1612,              0.0004901,              0.0004901,              0.0004901
                      3,                 1.2949,                 1.3407,                 1.0685,                0.73332,                0.56892,                 0.5812,                0.31443,                 1.3301,                 2.3699,                 1.1367,              0.0007299,              0.0007299,              0.0007299
                      4,                 1.4318,                 1.1611,                 1.1949,                0.57703,                0.51724,                 0.5057,                0.28842,                  1.405,                 2.2527,                  1.201,             0.00095941,             0.00095941,             0.00095941
                      5,                 1.2961,                0.98268,                 1.0831,                0.73624,                0.43103,                0.43546,                0.26443,                 1.4395,                 1.8858,                 1.2406,              0.0011786,              0.0011786,              0.0011786
                      6,                 1.2736,                 1.0633,                 1.1101,                0.08075,                0.31034,                0.04664,                0.01601,                  2.187,                 8.9678,                 1.7196,              0.0013875,              0.0013875,              0.0013875
                      7,                 1.3815,                 1.0209,                 1.1849,                0.13441,                0.34483,                0.07946,                 0.0351,                 1.9608,                 8.7666,                 1.6119,              0.0015862,              0.0015862,              0.0015862
                      8,                 1.2699,                0.90843,                 1.1186,                0.23902,                0.31034,                0.12446,                0.07262,                 1.4844,                 6.1846,                 1.2603,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2299,                0.94021,                 1.1047,                0.73606,                0.62514,                0.68392,                0.37302,                 1.4708,                 1.2084,                 1.3356,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.2601,                0.88143,                 1.1242,                0.89677,                0.41379,                0.53201,                0.32349,                 1.4776,                 1.8872,                 1.4392,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.2617,                0.85914,                  1.113,                0.54273,                0.31034,                0.28281,                0.11747,                 2.6334,                 3.3565,                 2.5499,               0.001604,               0.001604,               0.001604
                     12,                 1.2455,                0.85291,                 1.1348,                0.67907,                 0.6567,                0.64037,                0.33037,                 1.4597,                 2.1677,                 1.5171,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.2109,                0.82581,                 1.0723,                0.58979,                0.27586,                 0.3485,                0.19125,                 1.4389,                  5.275,                 1.3745,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.2743,                0.85452,                 1.0966,                 0.8189,                0.55172,                0.57969,                0.32725,                 1.4036,                 2.0006,                 1.1845,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.2336,                 0.8036,                 1.1149,                0.91317,                0.55172,                 0.7296,                0.39752,                 1.3795,                0.95036,                 1.2085,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1836,                0.78381,                 1.0832,                0.86302,                0.65182,                0.73949,                0.42614,                 1.3239,                0.83815,                 1.1915,               0.001406,               0.001406,               0.001406
                     17,                 1.1444,                0.74092,                 1.0491,                0.85408,                0.60553,                0.72637,                0.39197,                 1.4291,                0.81603,                 1.2937,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0463,                0.70423,                  1.045,                0.94571,                0.60074,                0.70606,                0.45864,                 1.2932,                0.79493,                 1.2315,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.0784,                0.68112,                 1.0572,                0.71873,                0.79302,                0.77439,                0.44021,                 1.3195,                0.79745,                 1.2049,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.0722,                0.71253,                 1.0445,                0.89742,                0.63793,                0.72795,                0.44684,                 1.2062,                 1.7399,                 1.1859,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.0345,                0.69363,                 1.0427,                0.87317,                0.63793,                0.73946,                0.47652,                 1.0498,                0.74104,                 1.0511,               0.001208,               0.001208,               0.001208
                     22,                 1.0455,                0.66831,                 1.0194,                0.99701,                0.62069,                0.71977,                0.44862,                 1.1407,                0.84565,                 1.1043,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.0573,                0.67771,                 1.0396,                 0.9281,                0.62069,                0.73016,                0.44503,                 1.1981,                0.77648,                 1.1436,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.0804,                0.67497,                 1.0593,                0.83235,                0.68486,                0.79899,                0.48787,                   1.15,                0.71125,                 1.0616,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.0243,                0.68015,                 1.0204,                0.83098,                 0.6782,                0.75004,                0.48031,                 1.1439,                0.68603,                 1.0883,              0.0010496,              0.0010496,              0.0010496
                     26,                0.97423,                0.63416,                  1.012,                0.84078,                 0.7069,                0.77799,                 0.5084,                 1.0639,                0.62111,                 1.0027,                0.00101,                0.00101,                0.00101
                     27,                0.98033,                0.61388,                 1.0022,                 0.8759,                0.81034,                0.84989,                0.56153,                0.98341,                0.58717,                0.96953,              0.0009704,              0.0009704,              0.0009704
                     28,                0.98446,                0.61329,                0.99034,                0.85073,                 0.7931,                 0.8354,                0.52835,                 1.0984,                0.59318,                 1.0086,              0.0009308,              0.0009308,              0.0009308
                     29,                0.92529,                0.58952,                0.97271,                0.88096,                0.76569,                0.85405,                0.53719,                 1.0572,                 0.5995,                 1.0053,              0.0008912,              0.0008912,              0.0008912
