                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5461,                 8.3655,                 1.4929,                0.42627,                0.43103,                0.40747,                0.28598,                 1.0242,                 14.491,                 1.0633,                0.00024,                0.00024,                0.00024
                      2,                 1.2422,                 1.9356,                 1.0614,                0.99354,                0.53448,                0.56757,                0.33429,                 1.3922,                 3.2062,                 1.1727,             0.00049604,             0.00049604,             0.00049604
                      3,                  1.344,                 1.3042,                 1.1044,                0.73655,                0.51724,                0.53886,                0.33168,                 1.2712,                 2.5514,                 1.1278,             0.00074796,             0.00074796,             0.00074796
                      4,                  1.381,                 1.1513,                 1.1601,                0.77533,                0.65452,                 0.6673,                  0.387,                 1.3259,                 1.6175,                 1.3089,             0.00099576,             0.00099576,             0.00099576
                      5,                 1.3446,                 1.0332,                 1.1107,                0.77467,                0.51724,                0.57088,                0.34186,                 1.3804,                 1.7109,                 1.1784,              0.0012394,              0.0012394,              0.0012394
                      6,                 1.3353,                 1.0417,                 1.1647,                0.73304,                0.60345,                0.60045,                0.31843,                 1.6199,                 1.7246,                 1.5706,               0.001479,               0.001479,               0.001479
                      7,                 1.3268,                 1.0049,                 1.1681,                 0.8974,                0.43103,                0.54435,                0.28889,                 1.4835,                 2.4702,                 1.6327,              0.0017145,              0.0017145,              0.0017145
                      8,                 1.3084,                0.94252,                  1.149,                0.73829,                0.53448,                0.58721,                0.31598,                 1.6605,                 1.5533,                 1.6194,              0.0018891,              0.0018891,              0.0018891
                      9,                  1.284,                0.88999,                 1.1363,                0.83683,                0.53062,                0.55935,                0.30886,                 1.7512,                  1.824,                 1.6019,              0.0018733,              0.0018733,              0.0018733
                     10,                 1.2883,                0.90087,                 1.1415,                0.63824,                0.41379,                 0.4493,                0.25462,                  1.763,                 4.1104,                 1.7346,              0.0018574,              0.0018574,              0.0018574
                     11,                 1.2561,                 0.8681,                 1.1164,                0.55331,                 0.2931,                0.28248,                 0.1566,                 2.0907,                 4.9976,                 2.1307,              0.0018416,              0.0018416,              0.0018416
                     12,                  1.227,                0.84817,                  1.127,                0.37582,                0.34483,                0.30049,                0.16991,                 2.0843,                   5.87,                 1.7883,              0.0018258,              0.0018258,              0.0018258
                     13,                 1.2532,                0.83702,                 1.0939,                0.52659,                    0.5,                0.48718,                0.20864,                 1.7792,                 1.8855,                 1.4609,              0.0018099,              0.0018099,              0.0018099
                     14,                  1.268,                 0.8674,                  1.132,                0.84213,                0.56897,                0.62215,                0.35437,                 1.4207,                 1.3739,                 1.3267,              0.0017941,              0.0017941,              0.0017941
                     15,                 1.2326,                0.80599,                 1.1159,                0.81934,                0.65517,                 0.7344,                0.44628,                 1.3578,                0.82024,                 1.3087,              0.0017782,              0.0017782,              0.0017782
                     16,                 1.2444,                0.84662,                 1.1175,                 0.7715,                0.64037,                0.66665,                0.34213,                 1.6699,                 1.0761,                 1.5052,              0.0017624,              0.0017624,              0.0017624
                     17,                 1.1802,                0.77294,                 1.0804,                0.85755,                0.62279,                0.71413,                0.37354,                 1.5484,                0.89634,                  1.383,              0.0017466,              0.0017466,              0.0017466
                     18,                 1.1448,                0.75855,                 1.1069,                0.94441,                0.55172,                0.66563,                0.41446,                 1.3779,                0.81851,                 1.2866,              0.0017307,              0.0017307,              0.0017307
                     19,                 1.1621,                0.70656,                 1.0824,                0.82777,                0.58015,                0.59615,                0.31715,                 1.4941,                0.85822,                 1.3488,              0.0017149,              0.0017149,              0.0017149
                     20,                 1.1467,                0.74262,                 1.0856,                0.85222,                 0.6961,                0.74206,                0.42107,                 1.4387,                0.84023,                 1.3874,               0.001699,               0.001699,               0.001699
                     21,                 1.1323,                0.74863,                 1.0822,                0.86981,                0.60345,                0.71025,                0.41858,                 1.3867,                0.82278,                 1.3256,              0.0016832,              0.0016832,              0.0016832
                     22,                 1.1211,                0.70428,                 1.0605,                0.79888,                0.65517,                0.71882,                0.44723,                 1.2144,                0.78923,                 1.2175,              0.0016674,              0.0016674,              0.0016674
                     23,                 1.1332,                0.72805,                   1.08,                0.94826,                0.63206,                0.69863,                0.43751,                 1.1912,                0.96788,                  1.156,              0.0016515,              0.0016515,              0.0016515
                     24,                 1.1185,                0.71992,                 1.0738,                0.88597,                0.67241,                0.75282,                0.46969,                 1.1276,                0.77911,                 1.1293,              0.0016357,              0.0016357,              0.0016357
                     25,                 1.1079,                0.69743,                 1.0776,                0.78636,                0.63793,                0.69866,                0.46381,                 1.1886,                 0.7406,                 1.1348,              0.0016198,              0.0016198,              0.0016198
                     26,                  1.075,                 0.6909,                 1.0468,                0.88467,                0.62069,                0.74281,                 0.4483,                 1.2181,                0.78251,                 1.0971,               0.001604,               0.001604,               0.001604
                     27,                 1.0777,                0.67802,                 1.0408,                0.85376,                0.72414,                 0.7861,                0.46873,                 1.1436,                0.72515,                 1.0856,              0.0015882,              0.0015882,              0.0015882
                     28,                 1.1231,                0.69744,                 1.0369,                0.99395,                0.60345,                 0.7811,                0.47692,                 1.2557,                0.66654,                  1.138,              0.0015723,              0.0015723,              0.0015723
